Month,Domestic,International,Total,
1,61638893,18955398,80594291,
2,59879630,15829198,75708828,
3,34420555,8956945,43377500,
4,2879712,401329,3281041,
5,7861491,372915,8234406,
6,16132885,803948,16936833,
7,22922158,1862122,24784280,
8,24431822,2298093,26729915,
9,23854772,2280598,26135370,
10,28027209,2969651,30996860,
11,26294514,3553139,29847653,
12,27264199,4763815,32028014,
13,24305908,4505796,28811704,
14,24483505,2994451,27477956,
15,39343495,4613016,43956511,
16,43798946,5490755,49289701,
