month,year,newPositiveCasesUS,newPositiveCasesInternational,
1,2020,2,37491,
2,2020,16,304374,
3,2020,196947,3327924,
4,2020,876279,9518649,
5,2020,718205,11082992,
6,2020,831597,16556865,
7,2020,1900180,26744624,
8,2020,1457213,30793490,
9,2020,1192663,33821702,
13,2021,6112572,76317755,
14,2021,2374243,45606357,
15,2021,405300,63429143,
1,2025,61638893,18955398,
2,2025,59879630,15829198,
3,2025,34420555,8956945,
4,2025,2879712,401329,
5,2025,7861491,372915,
6,2025,16132885,803948,
7,2025,22922158,1862122,
8,2025,24431822,2298093,
9,2025,23854772,2280598,
10,2025,28027209,2969651,
11,2025,26294514,3553139,
12,2025,27264199,4763815,
13,2025,24305908,4505796,
14,2025,24483505,2994451,
15,2025,39343495,4613016,
16,2025,43798946,5490755,
