month,year,newPositiveCases,
1,2020,37493,
1,2021,82430327,
1,2022,388602199,
2,2020,304390,
2,2021,47980600,
2,2022,253524173,
3,2020,3524871,
3,2021,63834443,
3,2022,223801704,
4,2020,10394928,
4,2021,94194407,
4,2022,93587272,
5,2020,11801197,
5,2021,80602107,
6,2020,17388462,
6,2021,46445898,
7,2020,28644804,
7,2021,64602319,
8,2020,32250703,
8,2021,81535439,
9,2020,35014365,
9,2021,65279209,
1,2020,51905386,
1,2021,54784089,
1,2020,74439093,
1,2021,68536726,
1,2020,82153397,
1,2021,112053044,
